>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_001390220.3 Aspergillus niger uncharacterized protein (An03g03760), partial mRNA
>XM_001390221.3 Aspergillus niger uncharacterized protein (An03g03770), partial mRNA
>XM_001390222.3 Aspergillus niger uncharacterized protein (An03g03780), partial mRNA
>XM_001390224.3 Aspergillus niger uncharacterized protein (An03g03800), partial mRNA
>XM_001390225.1 Aspergillus niger uncharacterized protein (An03g03810), partial mRNA
>XM_001390226.1 Aspergillus niger uncharacterized protein (An03g03820), partial mRNA
>XM_001390229.3 Aspergillus niger uncharacterized protein (An03g03850), partial mRNA
>XM_001390231.3 Aspergillus niger uncharacterized protein (An03g03870), partial mRNA
>XM_001390234.3 Aspergillus niger uncharacterized protein (An03g03900), partial mRNA
>XM_001390250.3 Aspergillus niger uncharacterized protein (An03g04060), partial mRNA
>XM_001390252.3 Aspergillus niger uncharacterized protein (An03g04080), partial mRNA
>XM_001390255.3 Aspergillus niger uncharacterized protein (An03g04110), partial mRNA
>XM_001390256.3 Aspergillus niger uncharacterized protein (An03g04120), partial mRNA
>XM_001390258.3 Aspergillus niger uncharacterized protein (An03g04140), partial mRNA
>XM_001390263.3 Aspergillus niger uncharacterized protein (An03g04190), partial mRNA
>XM_001390267.3 Aspergillus niger uncharacterized protein (An03g04230), partial mRNA
>XM_001390272.3 Aspergillus niger uncharacterized protein (An03g04280), partial mRNA
>XM_001390275.1 Aspergillus niger uncharacterized protein (An03g04310), partial mRNA
>XM_001390277.3 Aspergillus niger uncharacterized protein (An03g04330), partial mRNA
>XM_001390278.3 Aspergillus niger uncharacterized protein (An03g04340), partial mRNA
>XM_001390280.3 Aspergillus niger uncharacterized protein (An03g04360), partial mRNA
>XM_001390284.3 Aspergillus niger uncharacterized protein (An03g04400), partial mRNA
>XM_001390285.3 Aspergillus niger uncharacterized protein (An03g04410), partial mRNA
>XM_001390294.3 Aspergillus niger uncharacterized protein (An03g04500), partial mRNA
>XM_001390295.1 Aspergillus niger uncharacterized protein (An03g04510), partial mRNA
>XM_001390296.3 Aspergillus niger uncharacterized protein (An03g04520), partial mRNA
>XM_001390297.3 Aspergillus niger uncharacterized protein (An03g04530), partial mRNA
>XM_001390300.3 Aspergillus niger uncharacterized protein (An03g04560), partial mRNA
>XM_001390301.3 Aspergillus niger uncharacterized protein (An03g04570), partial mRNA
>XM_001390305.3 Aspergillus niger uncharacterized protein (An03g04610), partial mRNA
>XM_001390306.3 Aspergillus niger mitochondrial 37S ribosomal protein bS16m (An03g04620), partial mRNA
>XM_001390309.3 Aspergillus niger uncharacterized protein (An03g04650), partial mRNA
>XM_001390310.3 Aspergillus niger mitochondrial 37S ribosomal protein mS45 (An03g04660), partial mRNA
>XM_001390313.3 Aspergillus niger uncharacterized protein (An03g04690), partial mRNA
>XM_001390317.3 Aspergillus niger uncharacterized protein (An03g04730), partial mRNA
>XM_001390323.3 Aspergillus niger uncharacterized protein (An03g04790), partial mRNA
>XM_001390324.3 Aspergillus niger uncharacterized protein (An03g04800), partial mRNA
>XM_001390325.3 Aspergillus niger uncharacterized protein (An03g04810), partial mRNA
>XM_001390326.1 Aspergillus niger uncharacterized protein (An03g04820), partial mRNA
>XM_001390328.3 Aspergillus niger hypothetical protein (An03g04840), partial mRNA
>XM_001390329.1 Aspergillus niger uncharacterized protein (An03g04850), partial mRNA
>XM_001390330.3 Aspergillus niger uncharacterized protein (An03g04860), partial mRNA
>XM_001390331.1 Aspergillus niger uncharacterized protein (An03g04870), partial mRNA
>XM_001390334.3 Aspergillus niger uncharacterized protein (An03g04900), partial mRNA
>XM_001390336.3 Aspergillus niger uncharacterized protein (An03g04920), partial mRNA
>XM_001390338.1 Aspergillus niger uncharacterized protein (An03g04940), partial mRNA
>XM_001390339.3 Aspergillus niger uncharacterized protein (An03g04950), partial mRNA
>XM_001390341.3 Aspergillus niger uncharacterized protein (An03g04970), partial mRNA
>XM_001390343.1 Aspergillus niger uncharacterized protein (An03g04990), partial mRNA
>XM_001390347.3 Aspergillus niger hypothetical protein [truncated ORF] (An03g05030), partial mRNA
>XM_001390349.3 Aspergillus niger uncharacterized protein (An03g05050), partial mRNA
>XM_001390353.3 Aspergillus niger uncharacterized protein (An03g05090), partial mRNA
>XM_001390354.1 Aspergillus niger uncharacterized protein (An03g05100), partial mRNA
>XM_001390355.1 Aspergillus niger uncharacterized protein (An03g05110), partial mRNA
>XM_001390357.1 Aspergillus niger uncharacterized protein (An03g05130), partial mRNA
>XM_001390359.1 Aspergillus niger uncharacterized protein (An03g05150), partial mRNA
>XM_001390360.1 Aspergillus niger uncharacterized protein (An03g05160), partial mRNA
>XM_001390361.3 Aspergillus niger uncharacterized protein (An03g05170), partial mRNA
>XM_001390364.3 Aspergillus niger uncharacterized protein (An03g05200), partial mRNA
>XM_001390365.1 Aspergillus niger uncharacterized protein (An03g05210), partial mRNA
>XM_001390368.1 Aspergillus niger uncharacterized protein (An03g05240), partial mRNA
>XM_001390373.3 Aspergillus niger uncharacterized protein (An03g05290), partial mRNA
>XM_001390374.1 Aspergillus niger uncharacterized protein (An03g05300), partial mRNA
>XM_001390376.1 Aspergillus niger uncharacterized protein (An03g05320), partial mRNA
>XM_001390377.1 Aspergillus niger uncharacterized protein (An03g05330), partial mRNA
>XM_001390380.3 Aspergillus niger uncharacterized protein (An03g05360), partial mRNA
>XM_001390382.1 Aspergillus niger uncharacterized protein (An03g05380), partial mRNA
>XM_001390386.1 Aspergillus niger uncharacterized protein (An03g05420), partial mRNA
>XM_001390389.3 Aspergillus niger uncharacterized protein (An03g05450), partial mRNA
>XM_001390390.1 Aspergillus niger uncharacterized protein (An03g05460), partial mRNA
>XM_001390392.1 Aspergillus niger uncharacterized protein (An03g05480), partial mRNA
>XM_001390393.1 Aspergillus niger uncharacterized protein (An03g05490), partial mRNA
>XM_001390396.1 Aspergillus niger uncharacterized protein (An03g05530), partial mRNA
>XM_001390397.1 Aspergillus niger uncharacterized protein (An03g05540), partial mRNA
>XM_001390399.3 Aspergillus niger uncharacterized protein (An03g05560), partial mRNA
>XM_001390402.1 Aspergillus niger uncharacterized protein (An03g05600), partial mRNA
>XM_001390403.3 Aspergillus niger uncharacterized protein (An03g05610), partial mRNA
>XM_001390404.1 Aspergillus niger uncharacterized protein (An03g05620), partial mRNA
>XM_001390408.3 Aspergillus niger uncharacterized protein (An03g05660), partial mRNA
>XM_001390409.1 Aspergillus niger uncharacterized protein (An03g05670), partial mRNA
>XM_001390410.1 Aspergillus niger uncharacterized protein (An03g05680), partial mRNA
>XM_001390417.1 Aspergillus niger uncharacterized protein (An03g05750), partial mRNA
>XM_001390420.3 Aspergillus niger uncharacterized protein (An03g05780), partial mRNA
>XM_001390421.3 Aspergillus niger uncharacterized protein (An03g05790), partial mRNA
>XM_001390426.1 Aspergillus niger uncharacterized protein (An03g05840), partial mRNA
>XM_001390428.1 Aspergillus niger uncharacterized protein (An03g05860), partial mRNA
>XM_001390429.1 Aspergillus niger uncharacterized protein (An03g05870), partial mRNA
>XM_001390431.1 Aspergillus niger uncharacterized protein (An03g05890), partial mRNA
>XM_001390433.3 Aspergillus niger uncharacterized protein (An03g05910), partial mRNA
>XM_001390434.1 Aspergillus niger uncharacterized protein (An03g05930), partial mRNA
>XM_001390435.3 Aspergillus niger uncharacterized protein (An03g05940), partial mRNA
>XM_001390436.1 Aspergillus niger uncharacterized protein (An03g05950), partial mRNA
>XM_001390437.1 Aspergillus niger uncharacterized protein (An03g05960), partial mRNA
>XM_001390441.1 Aspergillus niger uncharacterized protein (An03g06000), partial mRNA
>XM_001390443.1 Aspergillus niger uncharacterized protein (An03g06020), partial mRNA
>XM_001390448.3 Aspergillus niger uncharacterized protein (An03g06080), partial mRNA
>XM_001390459.3 Aspergillus niger uncharacterized protein (An03g06210), partial mRNA
>XM_001390461.3 Aspergillus niger uncharacterized protein (An03g06230), partial mRNA
>XM_001390465.1 Aspergillus niger uncharacterized protein (An03g06270), partial mRNA
>XM_001390468.1 Aspergillus niger uncharacterized protein (An03g06300), partial mRNA
>XM_001390469.1 Aspergillus niger pectinesterase pmeA-Aspergillus niger (pmeA), partial mRNA
>XM_001390471.1 Aspergillus niger uncharacterized protein (An03g06330), partial mRNA
>XM_001390472.1 Aspergillus niger uncharacterized protein (An03g06340), partial mRNA
>XM_001390474.3 Aspergillus niger uncharacterized protein (An03g06360), partial mRNA
>XM_001390479.3 Aspergillus niger uncharacterized protein (An03g06410), partial mRNA
>XM_001390480.1 Aspergillus niger uncharacterized protein (An03g06420), partial mRNA
>XM_001390481.1 Aspergillus niger uncharacterized protein (An03g06430), partial mRNA
>XM_001390482.1 Aspergillus niger uncharacterized protein (An03g06440), partial mRNA
>XM_001390483.1 Aspergillus niger uncharacterized protein (An03g06450), partial mRNA
>XM_001390484.1 Aspergillus niger uncharacterized protein (An03g06460), partial mRNA
>XM_001390487.1 Aspergillus niger uncharacterized protein (An03g06490), partial mRNA
>XM_001390488.1 Aspergillus niger uncharacterized protein (An03g06500), partial mRNA
>XM_001390491.1 Aspergillus niger uncharacterized protein (An03g06530), partial mRNA
>XM_001390492.1 Aspergillus niger uncharacterized protein (An03g06540), partial mRNA
>XM_001390493.3 Aspergillus niger glucan 1,4-alpha-glucosidase glaA-Aspergillus niger (glaA), partial mRNA
>XM_001390494.1 Aspergillus niger uncharacterized protein (An03g06560), partial mRNA
>XM_001390495.1 Aspergillus niger uncharacterized protein (An03g06570), partial mRNA
>XM_001390497.1 Aspergillus niger uncharacterized protein (An03g06590), partial mRNA
>XM_001390498.1 Aspergillus niger uncharacterized protein (An03g06600), partial mRNA
>XM_001390502.1 Aspergillus niger uncharacterized protein (An03g06640), partial mRNA
>XM_001390504.3 Aspergillus niger uncharacterized protein (An03g06660), partial mRNA
>XM_001390507.1 Aspergillus niger uncharacterized protein (An03g06690), partial mRNA
>XM_001390509.3 Aspergillus niger uncharacterized protein (An03g06710), partial mRNA
>XM_001390513.3 Aspergillus niger uncharacterized protein (An03g06750), partial mRNA
>XM_001390514.3 Aspergillus niger uncharacterized protein (An03g06760), partial mRNA
>XM_001390518.3 Aspergillus niger uncharacterized protein (An03g06800), partial mRNA
>XM_001390520.3 Aspergillus niger uncharacterized protein (An03g06820), partial mRNA
>XM_001390521.1 Aspergillus niger uncharacterized protein (An03g06830), partial mRNA
>XM_001390523.3 Aspergillus niger uncharacterized protein (An03g06850), partial mRNA
>XM_001390524.3 Aspergillus niger uncharacterized protein (An03g06860), partial mRNA
>XM_001390525.3 Aspergillus niger uncharacterized protein (An03g06870), partial mRNA
>XM_001390531.3 Aspergillus niger uncharacterized protein (An03g06920), partial mRNA
>XM_001390532.1 Aspergillus niger uncharacterized protein (An03g06930), partial mRNA
>XM_001390535.3 Aspergillus niger uncharacterized protein (An03g06960), partial mRNA
>XM_001390541.1 Aspergillus niger uncharacterized protein (An05g00040), partial mRNA
>XM_001390542.3 Aspergillus niger uncharacterized protein (An05g00050), partial mRNA
>XM_001390543.1 Aspergillus niger hypothetical protein (An05g00060), partial mRNA
>XM_001390544.3 Aspergillus niger uncharacterized protein (An05g00070), partial mRNA
>XM_001390545.3 Aspergillus niger uncharacterized protein (An05g00080), partial mRNA
>XM_001390546.3 Aspergillus niger uncharacterized protein (An05g00090), partial mRNA
>XM_001390547.3 Aspergillus niger uncharacterized protein (An05g00100), partial mRNA
>XM_001390548.3 Aspergillus niger uncharacterized protein (An05g00110), partial mRNA
>XM_001390549.1 Aspergillus niger uncharacterized protein (An05g00120), partial mRNA
>XM_001390550.3 Aspergillus niger uncharacterized protein (An05g00130), partial mRNA
>XM_001390551.3 Aspergillus niger uncharacterized protein (An05g00140), partial mRNA
>XM_001390553.3 Aspergillus niger uncharacterized protein (An05g00160), partial mRNA
>XM_001390554.3 Aspergillus niger uncharacterized protein (An05g00170), partial mRNA
>XM_001390556.1 Aspergillus niger uncharacterized protein (An05g00190), partial mRNA
>XM_001390559.3 Aspergillus niger uncharacterized protein (An05g00220), partial mRNA
>XM_001390565.3 Aspergillus niger uncharacterized protein (An05g00280), partial mRNA
>XM_001390566.1 Aspergillus niger uncharacterized protein (An05g00290), partial mRNA
>XM_001390567.1 Aspergillus niger uncharacterized protein (An05g00300), partial mRNA
>XM_001390568.1 Aspergillus niger uncharacterized protein (An05g00310), partial mRNA
>XM_001390571.3 Aspergillus niger uncharacterized protein (An05g00340), partial mRNA
>XM_001390572.3 Aspergillus niger uncharacterized protein (An05g00350), partial mRNA
>XM_001390574.3 Aspergillus niger uncharacterized protein (An05g00370), partial mRNA
>XM_001390576.1 Aspergillus niger uncharacterized protein (An05g00390), partial mRNA
>XM_001390578.3 Aspergillus niger uncharacterized protein (An05g00410), partial mRNA
>XM_001390586.3 Aspergillus niger uncharacterized protein (An05g00480), partial mRNA
>XM_001390587.3 Aspergillus niger uncharacterized protein (An05g00490), partial mRNA
>XM_001390588.3 Aspergillus niger uncharacterized protein (An05g00500), partial mRNA
>XM_001390589.1 Aspergillus niger uncharacterized protein (An05g00510), partial mRNA
>XM_001390592.3 Aspergillus niger 60S ribosomal protein eL19 (An05g00540), partial mRNA
>XM_001390593.3 Aspergillus niger hypothetical protein (An05g00550), partial mRNA
>XM_001390595.1 Aspergillus niger uncharacterized protein (An05g00570), partial mRNA
>XM_001390602.3 Aspergillus niger uncharacterized protein (An05g00630), partial mRNA
>XM_001390604.3 Aspergillus niger uncharacterized protein (An05g00640), partial mRNA
>XM_001390607.1 Aspergillus niger uncharacterized protein (An05g00670), partial mRNA
>XM_001390615.3 Aspergillus niger 60S ribosomal protein eL42 (An05g00750), partial mRNA
>XM_001390617.3 Aspergillus niger uncharacterized protein (An05g00770), partial mRNA
>XM_001390618.1 Aspergillus niger uncharacterized protein (An05g00780), partial mRNA
>XM_001390619.3 Aspergillus niger uncharacterized protein (An05g00790), partial mRNA
>XM_001390621.1 Aspergillus niger uncharacterized protein (An05g00810), partial mRNA
>XM_001390622.3 Aspergillus niger uncharacterized protein (An05g00820), partial mRNA
>XM_001390625.1 Aspergillus niger uncharacterized protein (An05g00850), partial mRNA
>XM_001390628.3 Aspergillus niger uncharacterized protein (An05g00880), partial mRNA
>XM_001390633.3 Aspergillus niger uncharacterized protein (An05g00930), partial mRNA
>XM_001390636.3 Aspergillus niger uncharacterized protein (An05g00960), partial mRNA
>XM_001390638.3 Aspergillus niger uncharacterized protein (An05g00980), partial mRNA
>XM_001390639.3 Aspergillus niger uncharacterized protein (An05g00990), partial mRNA
>XM_001390640.1 Aspergillus niger uncharacterized protein (An05g01000), partial mRNA
>XM_001390644.3 Aspergillus niger uncharacterized protein (An05g01040), partial mRNA
