>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_742748.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02360), partial mRNA
>XM_742749.1 Aspergillus fumigatus Af293 DUF207 domain protein (AFUA_6G02350), partial mRNA
>XM_742750.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02340), partial mRNA
>XM_742754.1 Aspergillus fumigatus Af293 serine/threonine protein kinase (Kcc4), putative (AFUA_6G02300), partial mRNA
>XM_742755.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G02290), partial mRNA
>XM_742756.1 Aspergillus fumigatus Af293 allergen Asp F3 (AFUA_6G02280), partial mRNA
>XM_742757.1 Aspergillus fumigatus Af293 ribonuclease P/MRP protein subunit POP1 (AFUA_6G02270), partial mRNA
>XM_742758.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02260), partial mRNA
>XM_742761.1 Aspergillus fumigatus Af293 glucokinase glkA (AFUA_6G02230), partial mRNA
>XM_742762.1 Aspergillus fumigatus Af293 MFS toxin efflux pump, putative (AFUA_6G02220), partial mRNA
>XM_742763.1 Aspergillus fumigatus Af293 cytochrome P450 monooxygenase, putative (AFUA_6G02210), partial mRNA
>XM_742764.1 Aspergillus fumigatus Af293 C2HC5 finger protein (AFUA_6G02200), partial mRNA
>XM_742765.1 Aspergillus fumigatus Af293 transcriptional activator (PtaC), putative (AFUA_6G02190), partial mRNA
>XM_742766.1 Aspergillus fumigatus Af293 GNAT family acetyltransferase, putative (AFUA_6G02180), partial mRNA
>XM_742767.1 Aspergillus fumigatus Af293 metalloreductase transmembrane component, putative (AFUA_6G02170), partial mRNA
>XM_742768.1 Aspergillus fumigatus Af293 3' exoribonuclease family protein (AFUA_6G02160), partial mRNA
>XM_742769.1 Aspergillus fumigatus Af293 aspartic endopeptidase (AFUA_6G02150), partial mRNA
>XM_742770.1 Aspergillus fumigatus Af293 peptidyl prolyl cis-trans isomerase (CypC), putative (AFUA_6G02140), partial mRNA
>XM_742771.1 Aspergillus fumigatus Af293 Rab geranylgeranyl transferase escort protein, putative (AFUA_6G02130), partial mRNA
>XM_742772.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02120), partial mRNA
>XM_742773.1 Aspergillus fumigatus Af293 MADS box transcription factor Mcm1 (AFUA_6G02110), partial mRNA
>XM_742774.1 Aspergillus fumigatus Af293 DUF803 domain protein (AFUA_6G02100), partial mRNA
>XM_742775.1 Aspergillus fumigatus Af293 H(+)-transporting V1 sector ATPase subunit E (AFUA_6G02090), partial mRNA
>XM_742776.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G02080), partial mRNA
>XM_742777.1 Aspergillus fumigatus Af293 phospholipid-translocating P-type ATPase domain-containing protein (AFUA_6G02070), partial mRNA
>XM_742778.1 Aspergillus fumigatus Af293 tRNA-splicing endonuclease, putative (AFUA_6G02060), partial mRNA
>XM_742779.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02050), partial mRNA
>XM_742780.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02040), partial mRNA
>XM_742781.1 Aspergillus fumigatus Af293 aminotransferase, putative (AFUA_6G02030), partial mRNA
>XM_742782.1 Aspergillus fumigatus Af293 G1/S-specific cyclin Pcl5, putative (AFUA_6G02020), partial mRNA
>XM_742783.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02010), partial mRNA
>XM_742784.1 Aspergillus fumigatus Af293 NCS1 allantoate transporter (AFUA_6G02000), partial mRNA
>XM_742785.1 Aspergillus fumigatus Af293 rRNA processing protein Ipi1, putative (AFUA_6G01990), partial mRNA
>XM_742786.1 Aspergillus fumigatus Af293 haemolysin-III family protein (AFUA_6G01980), partial mRNA
>XM_742787.1 Aspergillus fumigatus Af293 GATA transcriptional activator AreA (AFUA_6G01970), partial mRNA
>XM_742788.1 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_6G01960), partial mRNA
>XM_742789.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G01950), partial mRNA
>XM_742790.1 Aspergillus fumigatus Af293 dienelactone hydrolase family protein (AFUA_6G01940), partial mRNA
>XM_742791.1 Aspergillus fumigatus Af293 MFS transporter Seo1, putative (AFUA_6G01930), partial mRNA
>XM_742792.1 Aspergillus fumigatus Af293 xenobiotic compound monooxygenase, DszA family (AFUA_6G01920), partial mRNA
>XM_742793.1 Aspergillus fumigatus Af293 C2H2 finger domain protein, putative (AFUA_6G01910), partial mRNA
>XM_742794.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G01905), partial mRNA
>XM_742795.1 Aspergillus fumigatus Af293 flavin-binding monooxygenase-like protein (AFUA_6G01900), partial mRNA
>XM_742796.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G01880), partial mRNA
>XM_742797.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G01870), partial mRNA
>XM_742798.1 Aspergillus fumigatus Af293 MFS lactose permease, putative (AFUA_6G01860), partial mRNA
>XM_742799.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G01850), partial mRNA
>XM_742800.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_6G01840), partial mRNA
>XM_742801.1 Aspergillus fumigatus Af293 O-methyltransferase, putative (AFUA_6G01830), partial mRNA
>XM_742802.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_6G01820), partial mRNA
>XM_742803.1 Aspergillus fumigatus Af293 cytochrome P450 oxidoreductase, putative (AFUA_6G01810), partial mRNA
>XM_742804.1 Aspergillus fumigatus Af293 endoglucanase, putative (AFUA_6G01800), partial mRNA
>XM_742805.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G01790), partial mRNA
>XM_742806.1 Aspergillus fumigatus Af293 ribonuclease III (AFUA_5G04440), partial mRNA
>XM_742807.1 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein mS33 (AFUA_5G04430), partial mRNA
>XM_742808.1 Aspergillus fumigatus Af293 U2 snRNP complex subunit CUS1 (AFUA_5G04420), partial mRNA
>XM_742809.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G04410), partial mRNA
>XM_742810.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G04400), partial mRNA
>XM_742811.1 Aspergillus fumigatus Af293 cytokinesis regulator (Byr4), putative (AFUA_5G04390), partial mRNA
>XM_742812.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04380), partial mRNA
>XM_742813.1 Aspergillus fumigatus Af293 NADH-ubiquinone oxidoreductase, subunit G, putative (AFUA_5G04370), partial mRNA
>XM_742814.1 Aspergillus fumigatus Af293 ER to Golgi transport protein (Sly41), putative (AFUA_5G04360), partial mRNA
>XM_742815.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G04350), partial mRNA
>XM_742816.1 Aspergillus fumigatus Af293 Pumilio-family RNA binding repeat domain protein (AFUA_5G04340), partial mRNA
>XM_742817.1 Aspergillus fumigatus Af293 aminopeptidase, putative (AFUA_5G04330), partial mRNA
>XM_742818.2 Aspergillus fumigatus Af293 Rab family GTPase YPT1 (AFUA_5G04320), partial mRNA
>XM_742819.2 Aspergillus fumigatus Af293 peroxisomal membrane protein Pmp47, putative (AFUA_5G04310), partial mRNA
>XM_742820.1 Aspergillus fumigatus Af293 WD repeat protein (AFUA_5G04300), partial mRNA
>XM_742821.1 Aspergillus fumigatus Af293 WW domain protein, putative (AFUA_5G04290), partial mRNA
>XM_742822.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04280), partial mRNA
>XM_742823.1 Aspergillus fumigatus Af293 AMP-binding enzyme, putative (AFUA_5G04270), partial mRNA
>XM_742824.1 Aspergillus fumigatus Af293 arginine transporter, putative (AFUA_5G04260), partial mRNA
>XM_742825.1 Aspergillus fumigatus Af293 homocysteine synthase CysD (AFUA_5G04250), partial mRNA
>XM_742826.1 Aspergillus fumigatus Af293 Nrd1 complex RNA-binding subunit (AFUA_5G04240), partial mRNA
>XM_742827.1 Aspergillus fumigatus Af293 citrate (Si)-synthase CIT1 (AFUA_5G04230), partial mRNA
>XM_742828.1 Aspergillus fumigatus Af293 mitochondrial DNA replication protein (Yhm2), putative (AFUA_5G04220), partial mRNA
>XM_742829.1 Aspergillus fumigatus Af293 ubiquinol--cytochrome-c reductase subunit 2 (AFUA_5G04210), partial mRNA
>XM_742830.1 Aspergillus fumigatus Af293 DNA directed RNA polymerase III subunit Rpc82, putative (AFUA_5G04200), partial mRNA
>XM_742831.1 Aspergillus fumigatus Af293 phosphate-sensing transcription factor PHO4 (AFUA_5G04190), partial mRNA
>XM_742832.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04180), partial mRNA
>XM_742833.1 Aspergillus fumigatus Af293 molecular chaperone and allergen Mod-E/Hsp90/Hsp1 (AFUA_5G04170), partial mRNA
>XM_742834.1 Aspergillus fumigatus Af293 NTF2 and RRM domain protein (AFUA_5G04160), partial mRNA
>XM_742835.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04155), partial mRNA
>XM_742836.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04150), partial mRNA
>XM_742838.1 Aspergillus fumigatus Af293 cyclin-dependent serine/threonine-protein kinase phoA (AFUA_5G04130), partial mRNA
>XM_742839.1 Aspergillus fumigatus Af293 SIR2 family histone deacetylase, putative (AFUA_5G04120), partial mRNA
>XM_742841.1 Aspergillus fumigatus Af293 PQ loop repeat protein (AFUA_5G04100), partial mRNA
>XM_742842.1 Aspergillus fumigatus Af293 co-chaperone SGT1 (AFUA_5G04090), partial mRNA
>XM_742843.1 Aspergillus fumigatus Af293 oxidosqualene:lanosterol cyclase (AFUA_5G04080), partial mRNA
>XM_742844.2 Aspergillus fumigatus Af293 meiosis-specific topoisomerase Spo11, putative (AFUA_5G04070), partial mRNA
>XM_742845.1 Aspergillus fumigatus Af293 E2 ubiquitin-conjugating protein UBC7 (AFUA_5G04060), partial mRNA
>XM_742846.2 Aspergillus fumigatus Af293 scramblase family protein (AFUA_5G04050), partial mRNA
>XM_742847.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04040), partial mRNA
>XM_742848.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein bL27m (AFUA_5G04030), partial mRNA
>XM_742849.1 Aspergillus fumigatus Af293 chromatin-binding protein RAD9 (AFUA_5G04020), partial mRNA
>XM_742850.1 Aspergillus fumigatus Af293 tRNA splicing endonuclease subunit SEN2 (AFUA_5G04010), partial mRNA
>XM_742851.1 Aspergillus fumigatus Af293 rRNA-binding endoribonuclease (AFUA_5G04000), partial mRNA
>XM_742852.1 Aspergillus fumigatus Af293 vacuolar aspartyl aminopeptidase Lap4, putative (AFUA_5G03990), partial mRNA
>XM_742853.1 Aspergillus fumigatus Af293 LysM domain protein, putative (AFUA_5G03980), partial mRNA
>XM_742854.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G03970), partial mRNA
>XM_742855.2 Aspergillus fumigatus Af293 class V chitinase Chi100 (AFUA_5G03960), partial mRNA
>XM_742856.1 Aspergillus fumigatus Af293 protein kinase, putative (AFUA_5G03950), partial mRNA
>XM_742857.1 Aspergillus fumigatus Af293 alpha-1,3-glucanase, putative (AFUA_5G03940), partial mRNA
>XM_742858.2 Aspergillus fumigatus Af293 alcohol dehydrogenase, putative (AFUA_5G03930), partial mRNA
>XM_742859.1 Aspergillus fumigatus Af293 bZIP transcription factor HapX (AFUA_5G03920), partial mRNA
>XM_742860.1 Aspergillus fumigatus Af293 mitofusin complex protein UGO1 (AFUA_5G03910), partial mRNA
>XM_742861.1 Aspergillus fumigatus Af293 2Fe-2S iron-sulfur cluster binding domain protein (AFUA_5G03900), partial mRNA
>XM_742862.2 Aspergillus fumigatus Af293 rRNA-processing protein RRP15 (AFUA_5G03870), partial mRNA
>XM_742864.1 Aspergillus fumigatus Af293 RNA-binding signal recognition particle subunit SRP54 (AFUA_5G03880), partial mRNA
>XM_742865.2 Aspergillus fumigatus Af293 alkaline phosphatase family protein (AFUA_5G03860), partial mRNA
>XM_742866.2 Aspergillus fumigatus Af293 class III chitinase, putative (AFUA_5G03850), partial mRNA
>XM_742867.1 Aspergillus fumigatus Af293 oxidoreductase, short chain dehydrogenase/reductase family (AFUA_5G03840), partial mRNA
>XM_742868.1 Aspergillus fumigatus Af293 conidiation-specific protein Con-10, putative (AFUA_5G03830), partial mRNA
>XM_742869.1 Aspergillus fumigatus Af293 spindle pole body associated protein SnaD, putative (AFUA_5G03820), partial mRNA
>XM_742870.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G03810), partial mRNA
>XM_742871.2 Aspergillus fumigatus Af293 high-affinity iron transporter FtrA (AFUA_5G03800), partial mRNA
>XM_742872.2 Aspergillus fumigatus Af293 ferrooxidoreductase Fet3, putative (AFUA_5G03790), partial mRNA
>XM_742873.1 Aspergillus fumigatus Af293 L-PSP endoribonuclease family protein Brt1, putative (AFUA_5G03780), partial mRNA
>XM_742874.1 Aspergillus fumigatus Af293 lipase, putative (AFUA_5G03770), partial mRNA
>XM_742875.1 Aspergillus fumigatus Af293 class III chitinase ChiA1 (AFUA_5G03760), partial mRNA
>XM_742876.1 Aspergillus fumigatus Af293 WW domain protein (AFUA_5G03750), partial mRNA
>XM_742877.1 Aspergillus fumigatus Af293 isopenicillin N-CoA epimerase, putative (AFUA_5G03740), partial mRNA
>XM_742878.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03730), partial mRNA
>XM_742879.1 Aspergillus fumigatus Af293 chromatin assembly factor 1 subunit A, putative (AFUA_5G03720), partial mRNA
>XM_742880.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03710), partial mRNA
>XM_742881.1 Aspergillus fumigatus Af293 PP1-complex regulatory subunit GLC8 (AFUA_5G03700), partial mRNA
>XM_742882.1 Aspergillus fumigatus Af293 CRAL/TRIO domain protein (AFUA_5G03690), partial mRNA
>XM_742883.1 Aspergillus fumigatus Af293 TATA-binding protein-associated factor TAF6 (AFUA_5G03680), partial mRNA
>XM_742884.1 Aspergillus fumigatus Af293 adenosylmethionine decarboxylase SPE2 (AFUA_5G03670), partial mRNA
>XM_742885.2 Aspergillus fumigatus Af293 transcription initiation factor TFIID subunit beta, putative (AFUA_5G03660), partial mRNA
>XM_742886.2 Aspergillus fumigatus Af293 adenylate kinase family protein (AFUA_5G03650), partial mRNA
>XM_742887.1 Aspergillus fumigatus Af293 membrane insertase OXA1 (AFUA_5G03640), partial mRNA
>XM_742888.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03630), partial mRNA
>XM_742890.1 Aspergillus fumigatus Af293 protein phosphatase regulator SHP1 (AFUA_5G03610), partial mRNA
>XM_742891.1 Aspergillus fumigatus Af293 nucleotide binding protein, putative (AFUA_5G03600), partial mRNA
>XM_742892.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03590), partial mRNA
>XM_742893.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03580), partial mRNA
>XM_742894.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein uL1m (AFUA_5G03570), partial mRNA
>XM_742895.1 Aspergillus fumigatus Af293 glutamate--tRNA ligase GUS1 (AFUA_5G03560), partial mRNA
>XM_742896.1 Aspergillus fumigatus Af293 plasma membrane H(+)ATPase, putative (AFUA_5G03550), partial mRNA
>XM_742897.1 Aspergillus fumigatus Af293 thioredoxin reductase, putative (AFUA_5G03540), partial mRNA
>XM_742898.1 Aspergillus fumigatus Af293 class III chitinase, putative (AFUA_5G03530), partial mRNA
>XM_742899.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03520), partial mRNA
>XM_742900.1 Aspergillus fumigatus Af293 PQ loop repeat protein (AFUA_5G03510), partial mRNA
>XM_742901.1 Aspergillus fumigatus Af293 glucan 1,3-alpha-glucosidase ROT2 (AFUA_5G03500), partial mRNA
>XM_742902.1 Aspergillus fumigatus Af293 nucleoside diphosphate kinase (AFUA_5G03490), partial mRNA
>XM_742903.1 Aspergillus fumigatus Af293 methylenetetrahydrofolate reductase (NAD(P)H) MET12 (AFUA_5G03480), partial mRNA
>XM_742904.1 Aspergillus fumigatus Af293 tRNA-guanine transglycosylase family protein (AFUA_5G03470), partial mRNA
>XM_742905.1 Aspergillus fumigatus Af293 bifunctional thymidylate/uridylate kinase (AFUA_5G03460), partial mRNA
>XM_742906.1 Aspergillus fumigatus Af293 GIY-YIG catalytic domain containing protein (AFUA_5G03450), partial mRNA
>XM_742907.1 Aspergillus fumigatus Af293 PHD transcription factor (Rum1), putative (AFUA_5G03430), partial mRNA
>XM_742908.1 Aspergillus fumigatus Af293 1-aminocyclopropane-1-carboxylate deaminase, putative (AFUA_5G03420), partial mRNA
>XM_742909.1 Aspergillus fumigatus Af293 exopolyphosphatase, putative (AFUA_5G03410), partial mRNA
>XM_742910.1 Aspergillus fumigatus Af293 SH3 domain protein (Cyk3), putative (AFUA_5G03400), partial mRNA
>XM_742911.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03390), partial mRNA
>XM_742912.1 Aspergillus fumigatus Af293 flavin dependent monooxygenase, putative (AFUA_5G03380), partial mRNA
>XM_742913.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03370), partial mRNA
>XM_742914.1 Aspergillus fumigatus Af293 NAD(+) diphosphatase (AFUA_5G03360), partial mRNA
>XM_742915.1 Aspergillus fumigatus Af293 glutamine-dependent NAD(+) synthetase (AFUA_5G03350), partial mRNA
>XM_742916.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03340), partial mRNA
>XM_742917.1 Aspergillus fumigatus Af293 HypA-like protein, putative (AFUA_5G03330), partial mRNA
>XM_742918.1 Aspergillus fumigatus Af293 TFIIH/NER complex ATPase/helicase subunit SSL2 (AFUA_5G03320), partial mRNA
>XM_742919.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03310), partial mRNA
>XM_742920.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G03300), partial mRNA
>XM_742921.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03290), partial mRNA
>XM_742922.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03280), partial mRNA
>XM_742924.1 Aspergillus fumigatus Af293 endosomal cargo receptor (Erp3), putative (AFUA_5G03260), partial mRNA
>XM_742925.1 Aspergillus fumigatus Af293 ubiquitin-specific protease UBP15 (AFUA_5G03250), partial mRNA
>XM_742926.1 Aspergillus fumigatus Af293 protein kinase PKP2 (AFUA_5G03240), partial mRNA
>XM_742927.1 Aspergillus fumigatus Af293 stress response RCI peptide, putative (AFUA_5G03230), partial mRNA
>XM_742928.1 Aspergillus fumigatus Af293 signal peptidase complex subunit SPC3 (AFUA_5G03220), partial mRNA
>XM_742929.1 Aspergillus fumigatus Af293 disease resistance protein Aig2, putative (AFUA_5G03210), partial mRNA
>XM_742930.1 Aspergillus fumigatus Af293 SUMO protease ULP2 (AFUA_5G03200), partial mRNA
>XM_742931.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G03190), partial mRNA
>XM_742932.1 Aspergillus fumigatus Af293 translation initiation factor eIF4E3, putative (AFUA_5G03180), partial mRNA
>XM_742933.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G03170), partial mRNA
>XM_742934.1 Aspergillus fumigatus Af293 protein kinase, putative (AFUA_5G03160), partial mRNA
>XM_742935.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03150), partial mRNA
>XM_742936.1 Aspergillus fumigatus Af293 GTP cyclohydrolase I (AFUA_5G03140), partial mRNA
>XM_742937.1 Aspergillus fumigatus Af293 chromatin assembly factor 1 subunit C, putative (AFUA_5G03130), partial mRNA
>XM_742938.1 Aspergillus fumigatus Af293 chromatin-binding exonuclease XRN1 (AFUA_5G03120), partial mRNA
>XM_742939.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03110), partial mRNA
